2024 Ontario Provincial Championship Match Stats

totalPointsNpThis,autoPointsThis,dcPointsThis,autoSamplePointsThis,autoSpecimenPointsThis,dcSamplePointsThis,dcSpecimenPointsThis,team1This,team2This,matchNum,alliance
343,85,258,32,50,88,140,16413,19836,"M-10","Red"
315,56,259,16,40,96,130,16413,19836,"M-3","Red"
314,67,247,24,40,114,130,19498,18844,"M-2","Red"
303,77,226,24,50,56,140,22034,19836,"Q-11","Blue"
300,85,215,32,50,112,100,16417,18846,"M-10","Blue"
289,69,220,26,40,112,90,16417,18846,"M-9","Red"
288,74,214,24,50,66,130,16413,19836,"M-7","Red"
278,75,203,32,40,80,90,16488,16417,"Q-53","Red"
270,80,190,24,50,32,140,18158,19836,"Q-25","Red"
263,64,199,24,40,136,60,19500,19446,"Q-51","Red"
260,37,223,24,10,120,70,18846,18809,"Q-21","Red"
260,54,206,4,50,60,140,24760,18844,"Q-61","Red"
254,77,177,24,50,34,110,18844,19532,"Q-45","Blue"
252,57,195,4,50,52,140,24760,19836,"Q-46","Blue"
245,51,194,8,40,76,100,18809,16413,"Q-49","Red"
245,67,178,24,40,80,80,16417,18846,"M-4","Red"
239,51,188,8,40,48,110,16417,24760,"Q-28","Red"
239,53,186,0,50,28,140,19836,18809,"Q-40","Red"
234,49,185,16,30,132,50,19446,19500,"M-1","Red"
231,55,176,32,20,98,60,19532,27315,"Q-34","Blue"
230,58,172,32,20,74,80,16413,21393,"Q-23","Red"
229,67,162,24,40,56,100,19446,16413,"Q-3","Blue"
222,60,162,24,30,72,60,20261,16413,"Q-44","Red"
220,75,145,32,40,32,110,19498,18844,"M-4","Blue"
219,33,186,0,30,58,110,16417,19468,"Q-22","Red"
217,29,188,16,10,112,70,24457,19500,"Q-14","Blue"
211,33,178,0,30,80,80,27115,16488,"Q-20","Red"
211,59,152,16,40,72,80,18844,27344,"Q-36","Red"
207,33,174,0,30,48,120,18844,16423,"Q-11","Red"
207,45,162,32,10,32,100,27631,18844,"Q-21","Blue"
206,38,168,8,30,72,90,25049,19498,"Q-60","Red"
206,47,159,24,20,96,60,19532,21393,"M-6","Blue"
205,65,140,32,30,80,60,16417,18846,"M-7","Blue"
204,32,172,32,0,144,10,22309,19500,"Q-42","Blue"
204,67,137,24,40,32,90,27344,16417,"Q-44","Blue"
203,40,163,0,40,40,120,19836,19530,"Q-2","Blue"
202,42,160,6,30,60,70,16413,27076,"Q-12","Blue"
201,61,140,8,50,20,120,19498,18844,"M-6","Red"
200,33,167,0,30,72,80,27115,19498,"Q-52","Red"
198,0,198,0,0,112,80,19500,18846,"Q-8","Red"
197,43,154,0,40,96,40,16413,9999,"Q-58","Red"
196,38,158,8,30,80,60,16413,16488,"Q-31","Blue"
196,58,138,32,20,32,100,18844,21393,"Q-53","Blue"
196,47,149,24,20,56,90,16417,22497,"Q-62","Blue"
195,30,165,24,0,120,30,18846,27076,"Q-48","Red"
192,45,147,32,10,104,40,19498,18158,"Q-10","Red"
192,24,168,24,0,120,30,19836,27831,"Q-31","Red"
188,50,138,24,20,48,90,19446,21393,"Q-13","Blue"
187,38,149,8,30,36,80,19530,16488,"Q-63","Blue"
186,31,155,8,20,40,100,19498,19521,"Q-24","Blue"
184,34,150,24,10,104,40,18809,19532,"Q-57","Red"
183,43,140,0,40,32,90,16417,27315,"Q-16","Red"
183,27,156,24,0,80,70,27831,20261,"Q-26","Red"
183,43,140,0,40,32,90,16423,22309,"Q-35","Red"
180,37,143,24,10,120,20,19498,18846,"Q-33","Blue"
180,43,137,0,40,64,70,16423,16366,"Q-43","Red"
179,40,139,24,10,76,60,22603,18846,"Q-38","Red"
179,34,145,24,10,132,10,19500,16366,"Q-62","Red"
177,45,132,32,10,112,20,19532,21393,"M-8","Red"
176,37,139,24,10,96,40,19532,21393,"M-9","Blue"
175,40,135,24,10,80,40,20261,27076,"Q-34","Red"
173,13,160,0,10,80,80,27831,22664,"Q-48","Blue"
172,35,137,32,0,124,10,18846,25049,"Q-16","Blue"
170,47,123,24,20,40,50,22497,19446,"Q-29","Red"
167,27,140,24,0,122,0,19532,24760,"Q-23","Blue"
167,27,140,24,0,140,0,19468,25049,"Q-47","Blue"
165,37,128,24,10,72,50,19446,27076,"Q-56","Red"
163,43,120,0,40,10,80,24457,19836,"Q-55","Red"
162,23,139,0,20,96,40,22603,16417,"Q-6","Blue"
162,21,141,8,10,56,40,22034,27315,"Q-58","Blue"
161,18,143,8,10,80,30,22309,19530,"Q-27","Red"
160,23,137,0,20,64,70,21393,19468,"Q-41","Red"
158,40,118,0,40,6,106,25049,18844,"Q-3","Red"
158,38,120,8,30,42,60,16488,19530,"M-2","Blue"
157,31,126,8,20,56,70,9999,16423,"Q-19","Blue"
156,30,126,24,0,56,40,22035,18158,"Q-56","Blue"
155,6,149,0,6,80,66,24457,16423,"Q-6","Red"
154,29,125,16,10,72,50,24457,25049,"Q-37","Red"
154,20,134,0,20,56,60,22035,19498,"Q-40","Blue"
152,10,142,0,10,64,60,27631,27115,"Q-28","Blue"
152,10,142,0,10,52,60,27115,19530,"Q-45","Red"
150,26,124,16,10,56,50,16423,19521,"Q-57","Blue"
150,39,111,16,20,48,60,19446,19500,"M-3","Blue"
149,0,149,0,0,114,20,18158,19500,"Q-32","Red"
147,20,127,0,20,64,60,16366,27631,"Q-54","Red"
147,22,125,2,20,32,60,16488,19530,"M-8","Blue"
146,20,126,0,20,48,60,27315,16366,"Q-7","Red"
145,3,142,0,0,112,0,19521,27115,"Q-8","Blue"
144,40,104,10,30,34,40,16488,19530,"M-5","Blue"
142,19,123,16,0,120,0,22664,25049,"Q-32","Blue"
141,8,133,8,0,40,60,20261,19530,"Q-54","Blue"
138,24,114,24,0,64,20,22034,22309,"Q-4","Red"
138,13,125,0,10,40,70,16423,27315,"Q-52","Blue"
137,10,127,0,10,104,20,25049,27344,"Q-27","Blue"
137,18,119,8,10,56,60,27076,9999,"Q-41","Blue"
136,13,123,0,10,80,40,16366,24457,"Q-24","Red"
134,35,99,32,0,96,0,22309,18846,"Q-55","Blue"
133,0,133,0,0,88,0,22497,22034,"Q-39","Blue"
132,26,106,16,10,48,40,19530,19521,"Q-13","Red"
131,13,118,0,10,40,60,22603,22309,"Q-49","Blue"
126,24,102,24,0,96,0,22035,22497,"Q-47","Red"
125,37,88,24,10,28,60,21393,19498,"Q-5","Red"
122,13,109,0,10,96,10,22664,19446,"Q-22","Blue"
119,26,93,16,10,40,50,19446,19500,"M-5","Red"
118,34,84,24,10,56,10,22309,22497,"Q-10","Blue"
116,8,108,8,0,72,30,22664,20261,"Q-15","Red"
116,8,108,8,0,90,0,19521,22664,"Q-39","Red"
116,29,87,16,10,24,60,27344,22603,"Q-59","Red"
115,24,91,24,0,88,0,22497,16397,"Q-19","Red"
115,3,112,0,0,74,20,27115,21393,"Q-59","Blue"
115,21,94,8,10,24,70,19532,21393,"M-1","Blue"
109,7,102,4,0,52,50,27831,24760,"Q-4","Blue"
109,47,62,24,20,42,20,16488,19446,"Q-38","Blue"
107,32,75,32,0,52,20,27344,18158,"Q-1","Red"
107,20,87,0,20,24,60,27315,22603,"Q-25","Blue"
103,8,95,8,0,80,0,19532,22034,"Q-50","Red"
100,18,82,8,10,24,40,19530,22034,"Q-33","Red"
99,27,72,24,0,24,30,18158,27831,"Q-43","Blue"
95,16,79,16,0,64,0,19521,19468,"Q-30","Blue"
92,11,81,8,0,72,6,20261,19468,"Q-61","Blue"
91,21,70,8,10,24,40,16488,9999,"Q-14","Red"
91,16,75,16,0,72,0,9999,19521,"Q-46","Red"
