NAME,#,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Pau Cubarsí,,D,18,"6' 0""",163,Spain,31,5,0,3,9,0,18,8,3,0
Alejandro Balde,,D,21,"5' 9""",150,Spain,28,3,0,4,12,3,12,36,2,0
Ronald Araújo,,D,26,"6' 2""",172,Uruguay,10,1,1,1,4,2,9,3,2,0
Iñigo Martínez,,D,33,"6' 0""",168,Spain,26,0,0,4,10,0,13,26,4,0
Andreas Christensen,,D,29,"6' 2""",181,Denmark,2,1,0,0,0,0,2,0,2,0
Jules Koundé,,D,26,"5' 11""",163,France,32,3,2,3,19,6,22,19,4,0
Eric García,,D,24,"6' 0""",168,Spain,25,15,1,2,13,7,17,5,3,0
Hector Fort,,D,18,"6' 1""",172,Spain,14,9,0,0,6,0,5,1,2,0
Gerard Martín,,D,23,"6' 1""",168,Spain,24,16,1,3,5,1,11,7,2,0
Sergi Domínguez,,D,20,"6' 2""",172,Spain,3,1,0,0,0,0,2,0,1,0
Alexis Olmedo,,D,19,---,---,Spain,0,0,0,0,0,0,0,0,0,0
Andrés Cuenca,,D,17,"5' 11""",161,Spain,0,0,0,0,0,0,0,0,0,0
Álvaro Cortés,,D,20,"6' 2""",181,Spain,0,0,0,0,0,0,0,0,0,0
Landry Farré,,D,18,---,---,Spain,0,0,0,0,0,0,0,0,0,0
Gavi,,M,20,"5' 8""",152,Spain,22,10,1,1,8,1,30,19,4,0
Pedri,,M,22,"5' 9""",130,Spain,33,2,4,4,23,11,8,46,2,0
Pablo Torre,,M,22,"5' 8""",141,Spain,10,6,3,1,6,4,4,8,0,0
Fermín López,,M,21,"5' 9""",139,Spain,24,14,4,4,32,11,21,16,3,1
Marc Casadó,,M,21,"5' 8""",146,Spain,23,3,1,3,12,1,25,36,3,1
Dani Olmo,,M,26,"5' 10""",159,Spain,21,10,9,2,40,14,16,20,0,0
Frenkie de Jong,,M,27,"5' 11""",161,Netherlands,22,15,2,2,4,3,11,16,3,0
Marc Bernal,,M,17,"6' 3""",183,Spain,3,0,0,0,3,1,4,3,2,0
Noah Darvich,,M,18,"6' 0""",161,Germany,0,0,0,0,0,0,0,0,0,0
Guille Fernández,,M,16,"5' 11""",161,Spain,0,0,0,0,0,0,0,0,0,0
Ferran Torres,,F,25,"6' 0""",170,Spain,26,15,10,3,40,18,5,12,1,1
Robert Lewandowski,,F,36,"6' 1""",179,Poland,31,2,25,2,105,45,26,34,1,0
Ansu Fati,,F,22,"5' 10""",146,Spain,6,3,0,0,12,4,2,2,1,0
Raphinha,,F,28,"5' 9""",150,Brazil,32,4,16,9,96,32,8,35,4,0
Pau Víctor,,F,23,"6' 0""",170,Spain,19,17,2,1,13,8,7,3,2,0
Lamine Yamal,,F,17,"5' 11""",159,Spain,31,4,6,12,113,31,24,54,3,0
Toni Fernández,,F,16,"5' 9""",163,Spain,0,0,0,0,0,0,0,0,0,0
Daniel Rodríguez,,F,19,---,---,Spain,1,0,0,0,2,0,0,0,0,0
